Date,Total_cases,New_cases
2020/01/27,1,1
2020/01/28,1,0
2020/01/29,2,1
2020/01/30,2,0
2020/01/31,2,0
2020/02/01,2,0
2020/02/02,2,0
2020/02/03,2,0
2020/02/04,2,0
2020/02/05,2,0
2020/02/06,2,0
2020/02/07,2,0
2020/02/08,2,0
2020/02/09,2,0
2020/02/10,2,0
2020/02/11,2,0
2020/02/12,2,0
2020/02/13,2,0
2020/02/14,2,0
2020/02/15,2,0
2020/02/16,2,0
2020/02/17,3,1
2020/02/18,3,0
2020/02/19,3,0
2020/02/20,4,1
2020/02/21,4,0
2020/02/22,4,0
2020/02/23,4,0
2020/02/24,4,0
2020/02/25,4,0
2020/02/26,6,2
2020/02/27,6,0
2020/02/28,8,2
2020/02/29,12,4
2020/03/01,12,0
2020/03/02,17,5
2020/03/03,19,2
2020/03/04,24,5
2020/03/05,31,7
2020/03/06,41,10
2020/03/07,50,9
2020/03/08,54,4
2020/03/09,71,17
2020/03/10,86,15
2020/03/11,112,26
2020/03/12,135,23
2020/03/13,183,48
2020/03/14,226,43
2020/03/15,258,32
2020/03/16,295,37
2020/03/17,347,52
2020/03/18,392,45
2020/03/19,436,44
2020/03/20,500,64
2020/03/21,534,34
2020/03/22,571,37
2020/03/23,649,78
2020/03/24,719,70
2020/03/25,796,77
2020/03/26,870,74
2020/03/27,937,67
2020/03/28,977,40
2020/03/29,1001,24
2020/03/30,1079,78
2020/03/31,1130,51
2020/04/01,1180,50
2020/04/02,1233,53
2020/04/03,1276,43
2020/04/04,1309,33
2020/04/05,1352,43
2020/04/06,1405,53
2020/04/07,1446,41
2020/04/08,1519,73
2020/04/09,1587,68
2020/04/10,1670,83
2020/04/11,1711,41
2020/04/12,1735,24
2020/04/13,1776,41
2020/04/14,1819,43
2020/04/15,1848,29
2020/04/16,1875,27
2020/04/17,1917,42
2020/04/18,1931,14
2020/04/19,1945,14
2020/04/20,1970,25
2020/04/21,1996,26
2020/04/22,2044,48
2020/04/23,2063,19
2020/04/24,2094,31
2020/04/25,2108,14
2020/04/26,2119,11
2020/04/27,2143,24
2020/04/28,2165,22
2020/04/29,2194,29
2020/04/30,2204,10
2020/05/01,2225,21
2020/05/02,2237,12
2020/05/03,2245,8
2020/05/04,2264,19
2020/05/05,2277,13
2020/05/06,2305,28
2020/05/07,2317,12
2020/05/08,2340,23
2020/05/09,2351,11
2020/05/10,2354,3
2020/05/11,2374,20
2020/05/12,2389,15
2020/05/13,2410,21
2020/05/14,2434,24
2020/05/15,2448,14
2020/05/16,2463,15
2020/05/17,2470,7
2020/05/18,2509,39
2020/05/19,2553,44
2020/05/20,2589,36
2020/05/21,2610,21
2020/05/22,2637,27
2020/05/23,2654,17
2020/05/24,2656,2
2020/05/25,2664,8
2020/05/26,2696,32
2020/05/27,2735,39
2020/05/28,2759,24
2020/05/29,2803,44
2020/05/30,2819,16
2020/05/31,2829,10
2020/06/01,2863,34
2020/06/02,2889,26
2020/06/03,2932,43
2020/06/04,2969,37
2020/06/05,3004,35
2020/06/06,3017,13
2020/06/07,3035,18
2020/06/08,3074,39
2020/06/09,3121,47
2020/06/10,3184,63
2020/06/11,3234,50
2020/06/12,3292,58
2020/06/13,3312,20
2020/06/14,3325,13
2020/06/15,3387,62
2020/06/16,3485,98
2020/06/17,3577,92
2020/06/18,3680,103
2020/06/19,3791,111
2020/06/20,3841,50
2020/06/21,3878,37
2020/06/22,3986,108
2020/06/23,4179,193
2020/06/24,4329,150
2020/06/25,4466,137
2020/06/26,4603,137
2020/06/27,4713,110
2020/06/28,4774,61
2020/06/29,4921,147
2020/06/30,5109,188
2020/07/01,5296,187
2020/07/02,5483,187
2020/07/03,5565,82
2020/07/04,5608,43
2020/07/05,5706,98
2020/07/06,5963,257
2020/07/07,6255,292
2020/07/08,6546,291
2020/07/09,6826,280
2020/07/10,7069,243
2020/07/11,7246,177
2020/07/12,7367,121
2020/07/13,7571,204
2020/07/14,7925,354
2020/07/15,8309,384
2020/07/16,8651,342
2020/07/17,8954,303
2020/07/18,9126,172
2020/07/19,9217,91
2020/07/20,9440,223
2020/07/21,9752,312
2020/07/22,10057,305
2020/07/23,10307,250
2020/07/24,10561,254
2020/07/25,10693,132
2020/07/26,10781,88
2020/07/27,10956,175
2020/07/28,11233,277
2020/07/29,11507,274
2020/07/30,11754,247
2020/07/31,12016,262
2020/08/01,12179,163
2020/08/02,12262,83
2020/08/03,12432,170
2020/08/04,12729,297
2020/08/05,13050,321
2020/08/06,13292,242
2020/08/07,13549,257
2020/08/08,13759,210
2020/08/09,13870,111
2020/08/10,14094,224
2020/08/11,14426,332
2020/08/12,14712,286
2020/08/13,14953,241
2020/08/14,15210,257
2020/08/15,15366,156
2020/08/16,15438,72
2020/08/17,15606,168
2020/08/18,15869,263
2020/08/19,16037,168
2020/08/20,16200,163
2020/08/21,16362,162
2020/08/22,16498,136
2020/08/23,16557,59
2020/08/24,16711,154
2020/08/25,16997,286
2020/08/26,17218,221
2020/08/27,17416,198
2020/08/28,17587,171
2020/08/29,17723,136
2020/08/30,17780,57
2020/08/31,17918,138
2020/09/01,18130,212
2020/09/02,18313,183
2020/09/03,18385,72
2020/09/04,18388,3
