Date,icu_covid,icu_pui,icu_other,icu_available,non_icu_covid,non_icu_pui,non_icu_other,non_icu_available,vents_pts,vents_available,covid_new,covid_total,pui_total,covid_total_7davg,pui_total_7davg,covid_pct_7davg,covid_pui_pct_7davg,other_total,available_total,icu_covid_pct_7davg,icu_covid_pui_pct_7davg,non_icu_covid_pct_7davg,non_icu_covid_pui_pct_7davg,cap_pct_7davg_total,icu_cap_pct_7davg,non_icu_cap_pct_7davg
2020/03/27,63,22,,66,62,52,,293,95,,,125,74,,,,,0,359,,,,,,,
2020/03/28,30,66,,87,111,28,,403,90,,,141,94,,,,,0,490,,,,,,,
2020/03/29,69,13,,91,81,49,,549,115,,,150,62,,,,,0,640,,,,,,,
2020/03/30,72,34,,68,82,74,,579,110,,,154,108,,,,,0,647,,,,,,,
2020/03/31,73,19,,73,76,68,,630,107,,,149,87,,,,,0,703,,,,,,,
2020/04/01,82,13,,70,70,56,,491,128,,,152,69,,,,,0,561,,,,,,,
2020/04/02,75,19,,71,90,58,,394,143,,,165,77,148,82,19.3,29.9,0,465,39.8,55.3,13.8,22.9,70.1,44.7,77.1
2020/04/03,76,17,,70,89,54,,368,145,,,165,71,154,81,19.6,29.8,0,438,40.5,55.4,14.1,22.9,70.2,44.6,77.1
2020/04/04,69,15,,76,99,48,,336,113,,,168,63,158,77,20.5,30.3,0,412,44.3,55.5,14.1,23.6,69.7,44.5,76.4
2020/04/05,72,12,,116,95,46,,420,130,,,167,58,160,76,21.2,31,0,536,43.8,54.7,14.8,24.4,69,45.3,75.6
2020/04/06,73,8,,131,108,57,,702,164,,,181,65,164,70,21.1,30.1,0,833,42.8,51.4,15,24.1,69.9,48.6,75.9
2020/04/07,74,11,,120,115,46,,661,132,,,189,57,170,66,21.5,30,0,781,41.6,49.4,15.6,24.3,70,50.6,75.7
2020/04/08,73,6,,88,77,36,,590,126,,,150,42,169,62,21.2,29.1,0,678,40.8,47.9,15.6,23.7,70.9,52.1,76.3
2020/04/09,77,18,,108,74,52,,651,141,,,151,70,167,61,20.1,27.4,0,759,39.7,46.5,14.5,22.1,72.6,53.5,77.9
2020/04/10,66,5,,136,89,40,,824,108,,,155,45,166,57,18.5,24.9,0,960,37.6,43.2,13.4,20,75.1,56.8,80
2020/04/11,69,5,,96,71,38,,372,116,,,140,43,162,54,17.8,23.8,0,468,37.2,41.9,12.6,18.9,76.2,58.1,81.1
2020/04/12,69,10,,92,70,38,,410,105,,,139,48,158,53,17.6,23.4,0,502,37.9,42.5,12.1,18.3,76.6,57.5,81.7
2020/04/13,64,19,,119,84,24,,923,132,,,148,43,153,50,16.9,22.4,0,1042,37.5,43,11.5,17.1,77.6,57,82.9
2020/04/14,65,11,,119,73,29,,913,132,,,138,40,146,47,15.9,21,0,1032,37.1,42.6,10.5,15.7,79,57.4,84.3
2020/04/15,64,15,,108,77,48,,878,107,,,141,63,145,50,15.1,20.3,0,986,35.7,41.9,10,15.2,79.7,58.1,84.8
2020/04/16,58,8,122,357,69,23,828,812,135,,12,127,31,141,45,13.7,18.1,950,1169,31.8,36.9,9.2,13.6,75.9,59.9,79.5
2020/04/17,72,9,139,244,67,28,1020,1007,132,,33,139,37,139,44,12.6,16.6,1159,1251,29.5,34.5,8.3,12.3,71,58,74
2020/04/18,66,12,140,238,69,15,938,971,123,,26,135,27,138,41,10.3,13.5,1078,1209,25.7,30.7,6.7,9.7,67.8,57.4,69.9
2020/04/19,67,4,139,130,76,15,879,775,133,,24,143,19,139,37,8.4,10.8,1018,905,22.8,27.1,5.4,7.5,63.6,55.2,64.9
